School Code,ACT Score,Zscore
151,21
201,17
261,20
271,19
411,18
421,20
431,22
991,13
1003,14
12,20
61,20
341,20
491,22
541,20
551,21
581,14
771,19
21,19
11,20
161,20
302,19
1011,20
1121,17
1171,22
2011,21
2021,19
2211,20
2311,18
3011,20
3141,27
4011,21
4021,26
5011,24
6011,22
171,17
185,22
211,18
241,17
361,17
371,17
403,17
452,13
592,14
601,14
951,20
1151,19
1241,18
1281,21
1291,21
1451,17
1661,17
1681,16
1711,18
1741,17
1751,17
1901,17
1931,21
2221,20
2351,19
2751,21
2831,20
3011,23
3391,19
3541,18
3623,23
3651,14
3731,19
3851,27
3861,20
3971,21
5007,18
5060,13
5091,21
5121,21
5221,18
5331,15
5341,15
5351,14
5396,21
5416,18
5481,14
6501,14
7004,20
21,19
101,19
31,21
51,21
151,20
161,16
502,24
31,20
121,20
163,21
252,20
311,20
341,19
391,19
431,21
551,23
661,19
151,21
261,19
271,16
282,17
311,23
392,22
493,19
501,18
11,19
123,19
6040,19
7007,21
7009,21
7011,17
7018,17
7020,20
7022,18
7029,22
7030,14
7033,20
7037,17
7041,28
7042,17
7048,18
7049,17
7051,19
7053,18
7055,21
7056,18
7059,20
7061,25
7062,14
7065,15
7068,15
7071,19
7081,23
7091,26
7101,22
7111,17
7121,20
7131,16
7141,19
7151,16
7160,18
7161,25
7191,17
7201,20
7231,15
7241,21
7251,15
7262,17
7265,25
7271,18
7301,15
7341,15
7361,18
7371,19
7381,16
7391,20
7411,16
7431,22
7461,16
7511,19
7531,18
7541,17
7551,25
7591,16
7601,18
7701,17
7721,17
7731,16
7741,18
7751,18
7781,18
7791,16
7901,22
8019,14
8121,14
8131,13
31,17
21,19
331,18
351,16
381,17
531,15
751,24
861,17
901,17
961,17
1073,22
1181,14
1191,18
1451,21
1531,26
1651,16
2231,21
2241,18
2371,18
2411,17
2481,17
2601,20
2651,17
2681,19
2801,18
2851,16
281,19
411,22
521,20
862,19
951,20
1231,19
1251,21
7004,23
90,19
91,19
91,18
51,15
71,16
21,20
31,21
21,17
61,20
81,18
32,17
21,17
181,18
201,18
51,19
181,21
251,19
351,20
391,19
221,21
231,18
251,20
43,17
73,17
89,21
93,20
131,16
151,19
281,18
291,19
371,14
761,19
1291,20
1322,18
1541,20
1551,21
1881,21
2241,19
2421,17
3004,15
3171,23
3371,20
3411,23
3431,19
3731,22
3784,17
4141,21
4151,21
4154,13
4155,14
4221,20
4731,21
6609,20
6634,19
6646,14
6647,21
31,19
41,18
61,18
261,20
31,21
291,19
5001,21
21,20
121,18
141,19
251,18
491,19
21,17
21,19
81,19
161,18
181,20
211,21
231,19
701,19
801,20
901,19
152,14
221,23
241,18
311,21
491,18
511,19
531,19
591,20
621,20
721,20
731,18
745,16
831,17
861,19
4121,20
4181,20
4212,14
4242,15
4251,15
7004,21
21,22
51,20
161,18
204,19
1091,22
1141,23
1211,15
1431,15
21,19
41,19
51,19
91,19
21,18
11,16
72,18
181,20
212,15
351,18
431,20
721,22
731,15
762,20
2104,18
331,18
351,20
461,21
501,18
521,19
661,19
701,18
9401,18
9690,19
31,20
241,20
351,22
400,23
41,21
101,20
131,20
151,19
191,19
231,20
291,21
41,21
201,20
211,24
581,22
601,22
641,22
9805,26
101,18
40,14
74,15
84,15
85,14
111,21
120,15
121,20
146,21
252,18
661,18
671,15
691,16
931,20
1001,19
1411,22
1511,20
1521,18
1542,19
1631,20
1632,21
1651,19
1662,18
1801,18
1811,14
1951,19
5711,17
81,18
201,18
601,18
841,17
842,17
853,18
862,20
902,20
921,22
922,20
959,14
9003,14
81,23
151,26
395,25
581,17
691,16
862,19
961,23
1361,17
1371,18
1461,17
1571,17
1611,17
1681,24
1771,17
1851,16
2001,22
2181,20
2191,21
2201,19
2301,16
2331,17
2361,15
2631,20
2811,17
3101,13
3251,23
3347,16
3355,14
3386,12
3396,20
3398,14
3401,12
3443,17
3861,20
3971,15
31,18
63,20
73,21
90,21
101,21
113,18
114,19
131,19
331,21
471,20
521,19
801,23
931,19
251,14
431,17
711,18
751,21
1031,17
1081,19
1531,17
2031,17
2081,19
2641,18
3031,21
3421,18
3781,21
3921,22
4521,19
4681,24
6181,22
7191,24
7241,16
7261,15
7491,14
31,18
481,17
791,17
811,18
901,18
937,17
1051,18
1131,17
1181,17
1671,20
1721,18
1762,18
1791,17
1801,18
1931,19
1991,18
8131,22
8133,23
112,18
261,17
301,18
33,16
181,20
251,23
401,20
411,23
492,24
493,24
121,23
161,17
201,16
301,17
401,18
411,17
21,20
103,23
141,21
151,20
182,22
351,22
21,29
51,20
74,20
85,18
181,22
221,21
1251,20
1391,20
71,21
181,21
251,21
421,22
431,22
491,22
551,20
911,20
931,22
161,19
171,19
2001,22
43,19
91,21
161,20
21,19
1453,21
1551,20
3436,18
3839,21
4436,22
4941,18
5836,21
6633,18
6761,19
6881,17
7841,14
71,20
101,20
141,20
153,22
271,19
21,19
51,19
13,16
16,16
11,25
341,21
351,18
391,21
